ISO Week,linux,linux_merges
2006-38,579,45
2006-39,1673,46
2006-40,974,46
2006-41,600,29
2006-42,546,29
2006-43,352,24
2006-44,386,21
2006-45,404,13
2006-46,423,17
2006-47,456,9
2006-48,482,29
2006-49,1668,46
2006-50,549,35
2006-51,338,19
2006-52,165,8
2007-01,279,12
2007-02,316,20
2007-03,253,1
2007-04,466,31
2007-05,520,31
2007-06,1012,50
2007-07,1091,55
2007-08,442,30
2007-09,441,32
2007-10,653,42
2007-11,519,20
2007-12,504,23
2007-13,443,28
2007-14,226,8
2007-15,328,19
2007-16,326,8
2007-17,664,42
2007-18,1000,33
2007-19,1552,71
2007-20,499,24
2007-21,641,26
2007-22,455,28
2007-23,453,18
2007-24,523,31
2007-25,381,20
2007-26,346,11
2007-27,384,18
2007-28,1131,46
2007-29,1674,96
2007-30,693,27
2007-31,721,32
2007-32,609,31
2007-33,407,19
2007-34,618,40
2007-35,423,18
2007-36,314,5
2007-37,546,36
2007-38,522,22
2007-39,518,24
2007-40,542,25
2007-41,1186,65
2007-42,2446,73
2007-43,845,58
2007-44,646,43
2007-45,684,31
2007-46,631,23
2007-47,700,16
2007-48,693,38
2007-49,644,34
2007-50,764,14
2007-51,796,38
2007-52,251,7
2008-01,309,11
2008-02,675,27
2008-03,561,21
2008-04,1156,36
2008-05,2231,54
2008-06,2002,97
2008-07,717,31
2008-08,756,39
2008-09,616,28
2008-10,837,45
2008-11,479,32
2008-12,838,37
2008-13,810,39
2008-14,639,32
2008-15,753,18
2008-16,1199,52
2008-17,1404,89
2008-18,1873,79
2008-19,605,37
2008-20,1031,40
2008-21,948,49
2008-22,626,23
2008-23,581,27
2008-24,746,41
2008-25,676,61
2008-26,865,57
2008-27,831,49
2008-28,1001,72
2008-29,1392,118
2008-30,1872,114
2008-31,969,74
2008-32,679,47
2008-33,803,69
2008-34,878,45
2008-35,689,54
2008-36,1062,55
2008-37,766,55
2008-38,457,28
2008-39,676,35
2008-40,572,36
2008-41,1022,99
2008-42,1570,85
2008-43,919,123
2008-44,1089,81
2008-45,748,53
2008-46,984,73
2008-47,1029,56
2008-48,987,53
2008-49,912,60
2008-50,920,41
2008-51,1063,71
2008-52,668,66
2009-01,854,68
2009-02,1883,132
2009-03,936,76
2009-04,926,32
2009-05,1112,77
2009-06,969,77
2009-07,1118,87
2009-08,972,75
2009-09,920,74
2009-10,1030,75
2009-11,1000,81
2009-12,1125,56
2009-13,1525,132
2009-14,1643,122
2009-15,1031,82
2009-16,1020,78
2009-17,1036,76
2009-18,992,51
2009-19,747,60
2009-20,925,56
2009-21,743,48
2009-22,857,54
2009-23,916,39
2009-24,1413,166
2009-25,1473,108
2009-26,916,73
2009-27,817,58
2009-28,750,51
2009-29,761,37
2009-30,709,43
2009-31,900,63
2009-32,972,57
2009-33,869,65
2009-34,945,48
2009-35,953,47
2009-36,852,45
2009-37,796,81
2009-38,1149,120
2009-39,1424,106
2009-40,647,41
2009-41,928,60
2009-42,965,71
2009-43,669,14
2009-44,813,50
2009-45,1019,62
2009-46,911,53
2009-47,1118,50
2009-48,901,24
2009-49,1193,106
2009-50,1349,129
2009-51,1559,122
2009-52,630,62
2009-53,377,33
2010-01,1001,50
2010-02,930,52
2010-03,894,66
2010-04,828,45
2010-05,881,52
2010-06,876,55
2010-07,1097,55
2010-08,1094,107
2010-09,1059,119
2010-10,1036,54
2010-11,973,49
2010-12,908,44
2010-13,828,46
2010-14,738,53
2010-15,776,53
2010-16,761,61
2010-17,1031,42
2010-18,1102,62
2010-19,1133,67
2010-20,1324,170
2010-21,1232,90
2010-22,941,70
2010-23,774,48
2010-24,708,22
2010-25,699,32
2010-26,685,44
2010-27,785,29
2010-28,691,26
2010-29,987,46
2010-30,1078,48
2010-31,1236,152
2010-32,1267,114
2010-33,861,51
2010-34,866,62
2010-35,857,14
2010-36,943,62
2010-37,947,42
2010-38,944,55
2010-39,1118,50
2010-40,1204,69
2010-41,1053,55
2010-42,1136,135
2010-43,1556,152
2010-44,708,30
2010-45,954,55
2010-46,1064,59
2010-47,877,66
2010-48,1112,75
2010-49,1046,50
2010-50,930,88
2010-51,819,67
2010-52,441,30
2011-01,1108,94
2011-02,1629,179
2011-03,991,69
2011-04,1055,66
2011-05,1084,72
2011-06,1080,58
2011-07,1063,76
2011-08,1307,66
2011-09,1146,65
2011-10,1229,79
2011-11,1086,165
2011-12,1508,104
2011-13,1019,59
2011-14,967,56
2011-15,899,43
2011-16,962,62
2011-17,911,44
2011-18,1121,50
2011-19,1368,68
2011-20,1228,115
2011-21,1658,175
2011-22,980,34
2011-23,1094,87
2011-24,1093,64
2011-25,1007,60
2011-26,1134,66
2011-27,1402,77
2011-28,1065,60
2011-29,1374,114
2011-30,1203,90
2011-31,891,74
2011-32,996,61
2011-33,754,48
2011-34,1211,61
2011-35,1015,34
2011-36,672,31
2011-37,776,49
2011-38,868,62
2011-39,892,47
2011-40,903,54
2011-41,1142,27
2011-42,846,46
2011-43,913,107
2011-44,1242,131
2011-45,1079,63
2011-46,1134,50
2011-47,1158,84
2011-48,1088,63
2011-49,1058,91
2011-50,1254,95
2011-51,1048,89
2011-52,656,52
2012-01,863,91
2012-02,1287,139
2012-03,1059,65
2012-04,866,70
2012-05,989,59
2012-06,1146,73
2012-07,1047,58
2012-08,1099,67
2012-09,1042,110
2012-10,1532,98
2012-11,1202,112
2012-12,1247,147
2012-13,1233,128
2012-14,1022,62
2012-15,1160,78
2012-16,1368,69
2012-17,1439,66
2012-18,1222,65
2012-19,1834,153
2012-20,1582,109
2012-21,1164,161
2012-22,1247,74
2012-23,1180,61
2012-24,1204,79
2012-25,1224,79
2012-26,1365,88
2012-27,1236,103
2012-28,1406,125
2012-29,1326,127
2012-30,1077,118
2012-31,1252,102
2012-32,1126,33
2012-33,1179,55
2012-34,1198,93
2012-35,861,31
2012-36,1465,75
2012-37,1612,133
2012-38,1571,139
2012-39,1183,108
2012-40,1298,160
2012-41,1361,133
2012-42,1234,89
2012-43,1557,99
2012-44,1442,54
2012-45,1256,87
2012-46,1495,144
2012-47,1711,166
2012-48,1400,173
2012-49,1123,54
2012-50,1414,225
2012-51,1382,82
2012-52,511,13
2013-01,786,33
2013-02,1151,76
2013-03,1357,79
2013-04,1632,121
2013-05,1423,117
2013-06,1333,126
2013-07,1259,154
2013-08,1316,156
2013-09,1300,100
2013-10,1498,71
2013-11,1514,76
2013-12,1733,98
2013-13,1479,97
2013-14,1441,96
2013-15,1654,211
2013-16,1335,106
2013-17,1229,116
2013-18,1577,155
2013-19,1183,99
2013-20,1367,53
2013-21,1328,78
2013-22,1325,92
2013-23,1452,86
2013-24,1332,137
2013-25,1436,170
2013-26,1362,159
2013-27,1496,143
2013-28,1050,94
2013-29,994,56
2013-30,1330,74
2013-31,1297,83
2013-32,1425,70
2013-33,1296,95
2013-34,1433,157
2013-35,1541,187
2013-36,1135,131
2013-37,1498,102
2013-38,1246,61
2013-39,1518,96
2013-40,1450,92
2013-41,1564,100
2013-42,1651,119
2013-43,1102,185
2013-44,1383,120
2013-45,1298,142
2013-46,1558,157
2013-47,1107,94
2013-48,1213,71
2013-49,1476,99
2013-50,1665,108
2013-51,1699,150
2013-52,633,66
2014-01,775,89
2014-02,1358,89
2014-03,1311,123
2014-04,1454,156
2014-05,1166,109
2014-06,1315,59
2014-07,1631,83
2014-08,1804,139
2014-09,1783,126
2014-10,1743,115
2014-11,1721,124
2014-12,1390,150
2014-13,1173,97
2014-14,1456,162
2014-15,1299,87
2014-16,1444,77
2014-17,1599,91
2014-18,1152,70
2014-19,1495,93
2014-20,1634,102
2014-21,1751,205
2014-22,1613,122
2014-23,1772,204
2014-24,1244,114
2014-25,1291,68
2014-26,1391,73
2014-27,1297,67
2014-28,1796,140
2014-29,1775,148
2014-30,1532,130
2014-31,1407,80
2014-32,1771,192
2014-33,988,74
2014-34,1229,55
2014-35,1398,77
2014-36,1712,111
2014-37,1686,116
2014-38,1322,81
2014-39,1456,166
2014-40,1510,125
2014-41,1262,139
2014-42,1106,95
2014-43,1861,70
2014-44,1670,99
2014-45,1870,110
2014-46,1577,106
2014-47,1678,170
2014-48,1312,108
2014-49,1392,80
2014-50,1517,224
2014-51,1063,103
2014-52,554,31
2015-01,698,48
2015-02,1358,70
2015-03,1673,104
2015-04,1608,145
2015-05,1484,137
2015-06,1300,154
2015-07,1508,151
2015-08,1104,106
2015-09,1631,73
2015-10,1634,135
2015-11,1649,112
2015-12,1543,103
2015-13,1642,117
2015-14,1566,134
2015-15,1180,133
2015-16,1565,169
2015-17,1149,90
2015-18,1634,54
2015-19,1489,91
2015-20,1440,114
2015-21,1574,97
2015-22,1474,95
2015-23,1679,115
2015-24,1474,96
2015-25,1540,85
2015-26,1326,191
2015-27,1015,78
2015-28,1327,62
2015-29,1499,90
2015-30,1337,104
2015-31,1701,111
2015-32,1437,93
2015-33,1246,103
2015-34,1537,117
2015-35,1131,103
2015-36,1312,159
2015-37,1181,86
2015-38,1616,69
2015-39,1602,107
2015-40,1747,88
2015-41,1560,126
2015-42,2068,134
2015-43,1597,132
2015-44,1507,103
2015-45,1779,171
2015-46,1125,97
2015-47,1639,67
2015-48,1120,78
2015-49,1604,87
2015-50,1500,109
2015-51,1413,122
2015-52,1167,141
2015-53,800,47
2016-01,1303,103
2016-02,1553,201
2016-03,1319,91
2016-04,1491,70
2016-05,1569,70
2016-06,1752,115
2016-07,1830,121
2016-08,2126,157
2016-09,1747,167
2016-10,1436,143
2016-11,1492,185
2016-12,1306,83
2016-13,1279,55
2016-14,1454,88
2016-15,1514,129
2016-16,1452,100
2016-17,1810,160
2016-18,1418,123
2016-19,1370,186
2016-20,1517,205
2016-21,1109,115
2016-22,1524,56
2016-23,1574,101
2016-24,1559,128
2016-25,1614,83
2016-26,1665,115
2016-27,1544,158
2016-28,1545,114
2016-29,1189,115
2016-30,1251,168
2016-31,1226,103
2016-32,1546,80
2016-33,1623,93
2016-34,1469,95
2016-35,1513,99
2016-36,1421,107
2016-37,1876,157
2016-38,1864,134
2016-39,1183,113
2016-40,1386,171
2016-41,1303,100
2016-42,1537,86
2016-43,1350,105
2016-44,1422,76
2016-45,1611,115
2016-46,1909,191
2016-47,1329,98
2016-48,1615,140
2016-49,1187,93
2016-50,1521,263
2016-51,1017,57
2016-52,579,21
2017-01,1209,85
2017-02,1559,102
2017-03,1644,113
2017-04,1749,175
2017-05,1683,122
2017-06,1800,141
2017-07,1463,125
2017-08,1588,184
2017-09,1459,98
2017-10,1587,93
2017-11,1602,76
2017-12,1686,124
2017-13,1732,130
2017-14,1835,121
2017-15,1419,109
2017-16,1511,152
2017-17,1336,146
2017-18,1291,146
2017-19,1422,96
2017-20,1688,84
2017-21,1477,85
2017-22,1438,101
2017-23,1909,101
2017-24,1683,195
2017-25,1599,130
2017-26,1520,98
2017-27,1475,253
2017-28,1528,98
2017-29,1756,76
2017-30,1438,93
2017-31,1677,96
2017-32,1733,103
2017-33,1902,181
2017-34,1840,147
2017-35,1777,167
2017-36,1372,219
2017-37,1039,67
2017-38,1522,80
2017-39,1419,92
2017-40,1394,94
2017-41,1923,124
2017-42,1857,172
2017-43,1412,114
2017-44,1839,170
2017-45,1629,134
2017-46,1610,262
2017-47,1041,59
2017-48,1550,111
2017-49,1604,111
2017-50,1417,104
2017-51,1490,134
2017-52,684,53
2018-01,1254,156
2018-02,1646,156
2018-03,1670,148
2018-04,1266,133
2018-05,1471,200
2018-06,1298,95
2018-07,1655,80
2018-08,1512,80
2018-09,1701,121
2018-10,1703,130
2018-11,1607,128
2018-12,1687,124
2018-13,1755,236
2018-14,1276,186
2018-15,1389,108
2018-16,1635,69
2018-17,1895,115
2018-18,1539,91
2018-19,1915,83
2018-20,1804,177
2018-21,1723,154
2018-22,1417,99
2018-23,1265,249
2018-24,1203,83
2018-25,1591,77
2018-26,1608,104
2018-27,1629,101
2018-28,1737,122
2018-29,1826,139
2018-30,1855,124
2018-31,1659,108
2018-32,1307,80
2018-33,1038,200
2018-34,1190,108
2018-35,1587,70
2018-36,1482,69
2018-37,1407,74
2018-38,1730,95
2018-39,1731,128
2018-40,1635,174
2018-41,1594,114
2018-42,1490,142
2018-43,1087,157
2018-44,1320,105
2018-45,1823,94
2018-46,1319,74
2018-47,1499,79
2018-48,1719,134
2018-49,1824,129
2018-50,2091,178
2018-51,1527,139
2018-52,663,106
2019-01,793,122
2019-02,1350,63
2019-03,1649,85
2019-04,1689,103
2019-05,1655,124
2019-06,1658,117
2019-07,1899,206
2019-08,1678,135
2019-09,1446,85
2019-10,1456,184
2019-11,1350,105
2019-12,1810,86
2019-13,1694,91
2019-14,1750,85
2019-15,1737,97
2019-16,1666,89
2019-17,1528,174
2019-18,1488,111
2019-19,1331,190
2019-20,1585,137
2019-21,1851,78
2019-22,1794,97
2019-23,1919,99
2019-24,1786,105
2019-25,1889,128
2019-26,1987,175
2019-27,1402,116
2019-28,1436,211
2019-29,1361,102
2019-30,1927,82
2019-31,1752,94
2019-32,1625,105
2019-33,1705,116
2019-34,1850,97
2019-35,1690,105
2019-36,1578,177
2019-37,1115,70
2019-38,1194,176
2019-39,1269,98
2019-40,1635,67
2019-41,1661,82
2019-42,1610,80
2019-43,1825,140
2019-44,1550,140
2019-45,2168,156
2019-46,1759,139
2019-47,1500,95
2019-48,1306,199
2019-49,1389,107
2019-50,2101,87
2019-51,1833,115
2019-52,690,42
2020-01,919,50
2020-02,1652,130
2020-03,1812,159
2020-04,1521,123
2020-05,1260,191
2020-06,1249,105
2020-07,1680,70
2020-08,1627,76
2020-09,1860,102
2020-10,1879,118
2020-11,1917,132
2020-12,1728,103
2020-13,2119,207
2020-14,1687,209
2020-15,1343,90
2020-16,1623,84
2020-17,1954,118
2020-18,2122,111
2020-19,2093,102
2020-20,1952,139
2020-21,1906,170
2020-22,2055,180
2020-23,1838,229
2020-24,1345,111
2020-25,1744,93
2020-26,1740,140
2020-27,2151,128
2020-28,1859,117
2020-29,2275,130
2020-30,2247,183
2020-31,1553,134
2020-32,1497,218
2020-33,1240,86
2020-34,1811,91
2020-35,1692,93
2020-36,1816,88
2020-37,1904,130
2020-38,2171,115
2020-39,2165,166
2020-40,1902,166
2020-41,1310,94
2020-42,1521,181
2020-43,1227,125
2020-44,1768,101
2020-45,1996,102
2020-46,1985,123
2020-47,2068,131
2020-48,1801,153
2020-49,1868,120
2020-50,1863,184
2020-51,1688,235
2020-52,659,51
2020-53,524,26
2021-01,1424,101
2021-02,2037,110
2021-03,2012,120
2021-04,1698,135
2021-05,1875,153
2021-06,1669,187
2021-07,1189,125
2021-08,1632,189
2021-09,1713,64
2021-10,2084,108
2021-11,2098,124
2021-12,2079,96
2021-13,1887,145
2021-14,2053,162
2021-15,1831,129
2021-16,1496,91
2021-17,1474,188
2021-18,1494,106
2021-19,1679,84
2021-20,1853,99
2021-21,1702,86
2021-22,1900,104
2021-23,2162,173
2021-24,2090,132
2021-25,1711,158
2021-26,1426,182
2021-27,955,118
2021-28,1466,67
2021-29,1385,91
2021-30,1740,87
2021-31,1666,106
2021-32,1685,130
2021-33,1653,148
2021-34,1321,130
2021-35,1445,215
2021-36,1409,98
2021-37,1702,72
2021-38,1599,77
2021-39,1639,87
2021-40,1627,126
2021-41,1948,139
2021-42,2023,159
2021-43,1632,174
2021-44,1559,220
2021-45,1301,118
2021-46,1674,98
2021-47,1602,101
2021-48,1787,72
2021-49,1805,108
2021-50,1752,175
2021-51,1274,107
2021-52,740,68
2022-01,1318,92
2022-02,1457,206
2022-03,1425,97
2022-04,1978,111
2022-05,1522,102
2022-06,1806,127
2022-07,1887,104
2022-08,1902,154
2022-09,1641,144
2022-10,1697,146
2022-11,1334,114
2022-12,1648,198
2022-13,1478,108
2022-14,1819,99
2022-15,1799,101
2022-16,1862,92
2022-17,1951,110
2022-18,1869,165
2022-19,1958,131
2022-20,1921,146
2022-21,1341,227
2022-22,1379,119
2022-23,1922,98
2022-24,1823,100
2022-25,1818,101
2022-26,1638,119
2022-27,1861,121
2022-28,2054,183
2022-29,1434,106
2022-30,1364,120
2022-31,1209,215
2022-32,1139,90
2022-33,1616,75
2022-34,1588,107
2022-35,1794,106
2022-36,2006,94
2022-37,1723,68
2022-38,2042,190
2022-39,2024,146
2022-40,1169,193
2022-41,1334,128
2022-42,1839,94
2022-43,1912,123
2022-44,1854,93
2022-45,1843,100
2022-46,2696,125
2022-47,1767,184
2022-48,1824,132
2022-49,1527,161
2022-50,1228,239
2022-51,912,75
2022-52,781,53
2023-01,1433,61
2023-02,2051,115
2023-03,2155,132
2023-04,1931,128
2023-05,1767,176
2023-06,1722,125
2023-07,1624,138
2023-08,1131,232
2023-09,1502,82
2023-10,2292,91
2023-11,2207,123
2023-12,2118,121
2023-13,1721,123
2023-14,1756,116
2023-15,1718,167
2023-16,1603,151
2023-17,1104,205
2023-18,1152,86
2023-19,1370,68
2023-20,1808,88
2023-21,1671,112
2023-22,1835,98
2023-23,2036,147
2023-24,1987,113
2023-25,1581,165
2023-26,1236,233
2023-27,1453,99
2023-28,1718,78
2023-29,1663,111
2023-30,1913,118
2023-31,2149,101
2023-32,2326,152
2023-33,1667,140
2023-34,1692,150
2023-35,1308,228
2023-36,1092,92
2023-37,2157,121
2023-38,1985,86
2023-39,1695,82
2023-40,1781,111
2023-41,1703,142
2023-42,1917,167
2023-43,1564,157
2023-44,1211,231
2023-45,1163,77
2023-46,1291,85
2023-47,1639,74
2023-48,1887,84
2023-49,2030,147
2023-50,2017,135
2023-51,1770,163
2023-52,569,25
2024-01,993,117
2024-02,1247,181
2024-03,1193,136
2024-04,1971,102
2024-05,2085,109
2024-06,1627,103
2024-07,2179,118
2024-08,2093,123
2024-09,1642,155
2024-10,1773,176
2024-11,1242,249
2024-12,1294,105
2024-13,1878,117
2024-14,1848,117
2024-15,1905,127
2024-16,1676,97
2024-17,1988,140
2024-18,1769,182
2024-19,1555,139
2024-20,1053,225
2024-21,1139,108
2024-22,1710,93
2024-23,1622,100
2024-24,1597,93
2024-25,1725,134
2024-26,1555,134
2024-27,1339,139
2024-28,967,190
2024-29,607,245
2024-30,403,98
2024-31,327,54
2024-32,337,54
2024-33,288,64
2024-34,298,47
2024-35,224,63
2024-36,147,60
2024-37,42,20
